SCHOOLID,MATHACH,SES,PICK1,SCHSIZE,SCHNUM,SMEANMATH,SMATHDEV,MEANMATH,SMEANSES,SSESDEV,MEANSES,FIXEDFITS,SMATHDEV2,SSESDEV2,SMEANMATH2,SMEANSES2,_est_fixed,_est_random,UJFE,UJFE_FE,UJRE_MLE,RSHRINK,UJRE_EB2,UJRE_EB,UJRATIO,STDRES_EB,COMP_SE,DIAG_SE,STDRES_RE
1637,4.213,-0.158,1,27,14,7.024111,9.936741,12.74785,-0.7054074,0.5475508,0.0001434,8.223575,13.37605,0.2021524,9.945258,-0.3453252,1,1,-4.177758,-4.177758,-3.946531,0.7751676,-3.059222,-3.059224,0.7322646,-1.597905,1.031078,1.914523,-0.8229037
1906,14.449,0.132,1,53,15,15.98317,11.21368,12.74785,0.5116227,-0.3794793,0.0001434,15.15135,19.03974,-0.1289665,14.33201,0.250586,1,1,2.114578,2.114578,2.102001,0.8712637,1.831397,1.831398,0.866082,0.9022883,0.7802119,2.029726,-0.058453
1909,12.165,0.482,1,28,16,14.42332,10.48953,12.74785,0.2480714,0.2340719,0.0001434,14.9359,17.55182,0.3555385,13.56824,0.1215398,1,1,1.132216,1.132216,1.172435,0.7814423,0.9161906,0.9161912,0.809202,0.476623,1.016588,1.922256,-0.4209414
1942,16.387,0.802,1,29,17,18.1109,11.02395,12.74785,0.682,0.1201434,0.0001434,18.37384,19.89184,0.4540804,15.37383,0.3340102,1,1,3.868979,3.868979,3.82227,0.7873764,3.009566,3.009567,0.7778713,1.559733,1.002693,1.92954,-0.1968993
1946,24.993,1.002,1,39,18,12.90844,24.83242,12.74785,0.0040513,0.9980921,0.0001434,15.09511,31.15295,1.000076,12.82648,0.0020568,1,1,0.1520204,0.1520204,0.241124,0.8327786,0.2008029,0.200803,,0.1011912,0.8892178,1.984392,1.600321
2030,16.028,0.382,1,47,19,12.07819,16.69766,12.74785,0.328383,0.0537604,0.0001434,12.19568,22.61167,0.214551,12.41996,0.1608638,1,1,-1.388891,-1.388891,-1.36476,0.8571765,-1.16984,-1.16984,0.8422839,-0.5810704,0.821792,2.01325,0.59598
2208,20.633,0.702,1,60,20,15.40467,17.97618,12.74785,0.4231667,0.2789767,0.0001434,16.01564,25.51898,0.4861776,14.04875,0.2072741,1,1,1.729897,1.729897,1.73504,0.884549,1.534728,1.534729,0.8871791,0.7504263,0.738858,2.045142,0.7825226
2277,3.472,-0.718,1,61,21,9.297606,6.922246,12.74785,-0.7619344,0.0440778,0.0001434,9.393874,11.47476,-0.3289987,11.05846,-0.3730032,1,1,-1.780403,-1.780403,-1.537851,0.8862263,-1.362884,-1.362884,0.7654922,-0.6657698,0.7334712,2.047081,-1.003358
2305,16.405,-0.738,1,67,22,11.13776,18.01509,12.74785,-0.628,-0.1098566,0.0001434,10.89673,23.46863,-0.4173529,11.95948,-0.3074231,1,1,-0.2337213,-0.2337213,-0.0180003,0.8953487,-0.0161166,-0.0161167,,-0.0078328,0.7034519,2.05759,0.9085011
2336,24.404,-0.228,1,47,23,16.5177,20.63415,12.74785,0.4415745,-0.6694311,0.0001434,15.05055,28.72194,-0.4532169,14.59374,0.2162873,1,1,2.802598,2.802598,2.804054,0.8571765,2.403569,2.40357,0.857622,1.193875,0.821792,2.01325,1.624934
2458,21.403,-0.048,1,57,24,13.98568,20.16517,12.74785,0.2277895,-0.2756461,0.0001434,13.38138,27.01317,-0.1641104,13.35395,0.1116089,1,1,0.7390198,0.7390198,0.7833024,0.8792066,0.6886846,0.6886849,0.9318897,0.3377633,0.7557597,2.038957,1.342843
2467,7.278,-1.388,1,52,25,10.14752,9.878333,12.74785,-0.3297308,-1.058126,0.0001434,7.82867,14.847,-1.219576,11.47462,-0.1613774,1,1,-1.877522,-1.877522,-1.721553,0.8691121,-1.496223,-1.496223,0.7969136,-0.7380671,0.786705,2.027218,-0.0926836
2526,19.112,-0.528,1,57,26,17.053,14.80685,12.74785,0.3269123,-0.8547689,0.0001434,15.17974,23.15675,-0.6946984,14.85584,0.1601437,1,1,3.58914,3.58914,3.613566,0.8792066,3.177071,3.177072,0.8851902,1.558185,0.7557597,2.038957,0.7460737
2626,11.331,0.492,1,38,27,13.39661,10.68225,12.74785,-0.0648421,0.5569854,0.0001434,14.61674,17.24181,0.525236,13.06551,-0.0316764,1,1,0.7911469,0.7911469,0.8940518,0.8291299,0.7412851,0.7412854,0.9369756,0.374379,0.8988665,1.98004,-0.5331822
2629,18.301,0.622,1,57,28,14.90777,16.14108,12.74785,-0.1376491,0.7597924,0.0001434,16.57229,23.44058,0.6923934,13.80544,-0.0673259,1,1,2.461846,2.461846,2.579337,0.8792066,2.26777,2.26777,0.9211665,1.112221,0.7557597,2.038957,0.3102759
2639,10.647,-0.658,1,42,29,6.615476,16.77938,12.74785,-0.9644286,0.306572,0.0001434,7.286914,20.0186,-0.1656545,9.745173,-0.4721533,1,1,-4.018834,-4.018834,-3.735716,0.8428459,-3.148633,-3.148634,0.7834697,-1.577195,0.8620355,1.99635,0.4456079
2651,9.962,-0.448,1,38,30,11.08432,11.62554,12.74785,0.0630526,-0.5109093,0.0001434,9.964512,17.0529,-0.480036,11.93331,0.0309465,1,1,-1.801382,-1.801382,-1.724098,0.8291299,-1.429501,-1.429502,0.7935584,-0.7219559,0.8988665,1.98004,-0.0320006
2655,15.129,-1.038,1,52,31,12.34517,15.53168,12.74785,-0.7016538,-0.3362028,0.0001434,11.60818,21.57642,-0.6797632,12.55068,-0.3434873,1,1,1.135079,1.135079,1.365555,0.8691121,1.18682,1.18682,1.045584,0.5854427,0.786705,2.027218,0.6190308
2658,7.02,-0.028,1,45,32,13.39616,6.371697,12.74785,0.4384444,-0.4663011,0.0001434,12.3741,12.93104,-0.2516195,13.06529,0.2147547,1,1,-0.3120901,-0.3120901,-0.3100075,0.8517698,-0.264055,-0.2640549,,-0.1315741,0.8372025,2.006891,-0.8720497
2755,18.264,-0.188,1,47,33,16.47651,14.53534,12.74785,0.5560426,-0.7438992,0.0001434,14.84619,22.60296,-0.4716364,14.57357,0.2723359,1,1,2.510587,2.510587,2.489112,0.8571765,2.133608,2.133609,0.8498446,1.059783,0.821792,2.01325,0.6445742
2768,1.467,0.422,1,25,34,10.88692,3.327932,12.74785,-0.0536,0.4757434,0.0001434,11.92904,8.658645,0.4494984,11.83666,-0.0261717,1,1,-1.743172,-1.743172,-1.642519,0.7614713,-1.250731,-1.250732,0.7175034,-0.6591355,1.062019,1.897534,-1.799297
2771,6.629,-0.158,1,55,35,11.84411,7.532744,12.74785,-0.3394545,0.1815979,0.0001434,12.24171,13.33214,0.0153861,12.30534,-0.1661386,1,1,-0.1596262,-0.1596262,-0.0017088,0.8753616,-0.0014958,-0.0014959,,-0.0007353,0.7676939,2.034494,-0.9283607
2818,17.432,-0.408,1,42,36,13.87283,16.30702,12.74785,0.1086667,-0.5165233,0.0001434,12.74073,23.09976,-0.4633153,13.29869,0.0532811,1,1,0.8871874,0.8871874,0.9553336,0.8428459,0.805199,0.8051993,0.9075865,0.4033357,0.8620355,1.99635,0.8126109
2917,11.57,-1.868,1,43,37,7.978953,16.3389,12.74785,-0.7982326,-1.069624,0.0001434,5.634909,20.24574,-1.460474,10.41279,-0.3907764,1,1,-3.01952,-3.01952,-2.769697,0.8459376,-2.34299,-2.342991,0.7759483,-1.171491,0.8535139,2.000008,0.9404258
2990,21.791,1.222,1,48,38,18.44792,16.09094,12.74785,0.6547083,0.567435,0.0001434,19.69095,25.12384,0.8880089,15.53885,0.320647,1,1,4.2658,4.2658,4.224558,0.8597347,3.631999,3.632001,0.8514233,1.801362,0.8143991,2.016252,0.4238085
2995,16.13,0.042,1,46,39,9.546108,19.33174,12.74785,-0.3016956,0.343839,0.0001434,10.2992,24.00594,0.1961156,11.18014,-0.1476502,1,1,-2.540363,-2.540363,-2.39001,0.8545234,-2.042319,-2.04232,0.803948,-1.016013,0.8293899,2.010132,0.8897396
3013,22.221,0.022,1,53,40,12.61083,22.35802,12.74785,-0.0442264,0.0663698,0.0001434,12.75594,28.53284,0.0447146,12.68076,-0.021582,1,1,-0.0398005,-0.0398005,0.0589744,0.8712637,0.0513823,0.0513823,,0.0253149,0.7802119,2.029726,1.554487
3020,5.137,-0.308,1,59,41,14.39527,3.489581,12.74785,0.2301356,-0.5379922,0.0001434,13.21612,10.53814,-0.4253078,13.5545,0.1127576,1,1,1.143466,1.143466,1.187279,0.8828215,1.048155,1.048156,0.9166478,0.513011,0.7443653,2.043144,-1.287087
3039,22.522,-0.248,1,21,42,16.96386,18.30599,12.74785,0.3477143,-0.5955709,0.0001434,15.65854,26.61224,-0.4253148,14.81219,0.1703293,1,1,3.454417,3.454417,3.474675,0.7283782,2.530878,2.530879,0.7326502,1.363736,1.133299,1.855843,1.302599
3088,13.758,0.352,1,39,43,9.145846,17.36001,12.74785,-0.4726154,0.8247587,0.0001434,10.95272,21.83821,0.5933456,10.98415,-0.23134,1,1,-2.566111,-2.566111,-2.381518,0.8327786,-1.983277,-1.983278,0.772873,-0.9994385,0.8892178,1.984392,0.3684091
3152,12.032,0.012,1,52,44,13.20904,11.57081,12.74785,0.0310385,-0.0188951,0.0001434,13.16732,18.03854,-0.0036973,12.97367,0.015271,1,1,0.3934894,0.3934894,0.4771867,0.8691121,0.4147287,0.4147289,,0.2045803,0.786705,2.027218,-0.1756801
3332,11.922,0.822,1,38,45,14.27816,10.39169,12.74785,0.6114737,0.2106697,0.0001434,14.73946,17.3829,0.510074,13.49716,0.2994774,1,1,0.1907754,0.1907754,0.1581954,0.8291299,0.1311645,0.1311648,,0.0662435,0.8988665,1.98004,-0.4654893
3351,8.879,0.582,1,39,46,11.46518,10.16167,12.74785,0.3261026,0.2560408,0.0001434,12.0259,15.77553,0.4157149,12.1198,0.1597472,1,1,-1.996906,-1.996906,-1.972318,0.8327786,-1.642504,-1.642505,0.8225248,-0.8277119,0.8892178,1.984392,-0.5797616
3377,14.34,-0.938,1,45,47,9.186711,17.90114,12.74785,-0.5853333,-0.3525233,0.0001434,8.413958,22.39936,-0.6391281,11.00416,-0.2865317,1,1,-2.278261,-2.278261,-2.071088,0.8517698,-1.76409,-1.764091,0.7743144,-0.8790168,0.8372025,2.006891,0.9350036
3427,13.874,-0.038,1,49,48,19.71559,6.90626,12.74785,0.1530204,-0.1908771,0.0001434,19.29703,16.55988,-0.1159516,16.15956,0.0749986,1,1,6.63276,6.63276,6.69202,0.8622028,5.769879,5.76988,0.8699064,2.857587,0.8072022,2.019144,-0.7333562
3498,4.259,1.152,1,53,49,16.39045,0.6163988,12.74785,0.6595472,0.4925961,0.0001434,17.4695,8.641882,0.8155393,14.53143,0.3230163,1,1,2.197733,2.197733,2.155523,0.8712637,1.878029,1.87803,0.8545303,0.9252625,0.7802119,2.029726,-2.14153
3499,15.165,0.562,1,38,50,13.27653,14.63633,12.74785,0.4498947,0.1122486,0.0001434,13.52217,21.13709,0.3325367,13.00671,0.2203613,1,1,-0.4568089,-0.4568089,-0.4570201,0.8291299,-0.3789291,-0.378929,,-0.1913745,0.8988665,1.98004,0.2534478
3533,1.26,-0.338,1,48,51,10.40904,3.598811,12.74785,-0.1344583,-0.2033983,0.0001434,9.963047,8.695533,-0.269235,11.60267,-0.0657635,1,1,-2.043875,-2.043875,-1.927025,0.8597347,-1.65673,-1.65673,0.8105829,-0.8216881,0.8143991,2.016252,-1.467914
3610,12.164,0.632,1,64,52,15.35495,9.556899,12.74785,0.120125,0.5120184,0.0001434,16.47656,17.07536,0.5708368,14.0244,0.0588916,1,1,2.3442,2.3442,2.410051,0.890978,2.147302,2.147303,0.9160066,1.046158,0.7179913,2.052561,-0.6823682
3657,22.04,1.062,1,51,53,9.521176,25.26668,12.74785,-0.6491765,1.71132,0.0001434,13.27066,29.92866,1.393455,11.16793,-0.317792,1,1,-1.803905,-1.803905,-1.583941,0.8668873,-1.373099,-1.373099,0.7611817,-0.6782003,0.7933629,2.024622,1.35011
3688,11.233,0.132,1,43,54,14.65626,9.324596,12.74785,0.4050232,-0.2728799,0.0001434,14.05801,16.50094,-0.0745628,13.68229,0.1983903,1,1,1.021242,1.021242,1.03002,0.8459376,0.8713322,0.8713326,0.8532089,0.4356645,0.8535139,2.000008,-0.4291773
3705,18.032,1.292,1,45,55,10.33169,20.44816,12.74785,0.2346667,1.057477,0.0001434,12.64849,25.50701,1.17238,11.56479,0.1149762,1,1,-2.930045,-2.930045,-2.88714,0.8517698,-2.459178,-2.459179,0.8392975,-1.225368,0.8372025,2.006891,0.779552
3716,23.14,-0.018,1,41,56,10.36866,25.51919,12.74785,-0.4206829,0.4028263,0.0001434,11.25101,30.59614,0.1968415,11.58289,-0.2059116,1,1,-1.457091,-1.457091,-1.282902,0.8396275,-1.07716,-1.07716,0.7392537,-0.5405979,0.8708174,1.992535,1.906686
3838,8.291,-0.898,1,54,57,16.06281,4.976038,12.74785,0.1453333,-1.04319,0.0001434,13.77669,12.84109,-0.9720284,14.371,0.0712347,1,1,2.996826,2.996826,3.057627,0.8733458,2.670366,2.670367,0.8910649,1.31406,0.773877,2.03215,-0.8034928
3881,0.785,0.042,1,41,58,11.94922,1.583632,12.74785,0.1276098,-0.0854664,0.0001434,11.76163,7.434494,-0.0229831,12.35681,0.0625565,1,1,-1.077934,-1.077934,-1.013582,0.8396275,-0.8510317,-0.851032,0.7895029,-0.4271102,0.8708174,1.992535,-1.827716
3967,14.543,-0.498,1,52,59,12.03508,15.25578,12.74785,-0.2251154,-0.2727413,0.0001434,11.43714,21.14868,-0.3829676,12.39885,-0.1101532,1,1,-0.219195,-0.219195,-0.084183,0.8691121,-0.0731645,-0.0731645,,-0.0360911,0.786705,2.027218,0.5175676
3992,23.339,0.002,1,53,60,14.64521,21.44165,12.74785,0.3653962,-0.3632529,0.0001434,13.84894,28.61258,-0.1843389,13.67688,0.1789871,1,1,1.097023,1.097023,1.113739,0.8712637,0.9703606,0.9703611,0.8845402,0.4780748,0.7802119,2.029726,1.595053
3999,19.007,-0.688,1,46,61,10.94404,20.81081,12.74785,-0.0910435,-0.5968132,0.0001434,9.636009,26.16949,-0.6413921,11.86463,-0.0445057,1,1,-1.604003,-1.604003,-1.495849,0.8545234,-1.278238,-1.278239,0.7969053,-0.6358978,0.8293899,2.010132,1.523853
4042,19.706,-0.268,1,64,62,14.31542,18.13843,12.74785,0.402,-0.6698567,0.0001434,12.84734,25.14789,-0.4730199,13.5154,0.1969099,1,1,0.6870323,0.6870323,0.6964157,0.890978,0.6204911,0.6204914,0.9031473,0.302301,0.7179913,2.052561,1.161637
4173,20.592,0.982,1,44,63,12.72466,20.61519,12.74785,0.032,0.9501433,0.0001434,14.80627,26.84574,0.965812,12.7365,0.0157418,1,1,-0.0929969,-0.0929969,-0.0094922,0.8489099,-0.008058,-0.008058,,-0.0040219,0.8452402,2.003519,0.9192749
4223,19.211,0.522,1,45,64,14.62262,17.33623,12.74785,-0.094,0.6161433,0.0001434,15.97238,24.49611,0.5701169,13.66582,-0.0459534,1,1,2.081054,2.081054,2.1898,0.8517698,1.865206,1.865206,0.8962795,0.9294009,0.8372025,2.006891,0.5652735
4253,10.703,-0.768,1,58,65,9.412862,14.03799,12.74785,-0.3736897,-0.394167,0.0001434,8.548861,18.64694,-0.5771418,11.11489,-0.1829016,1,1,-2.515858,-2.515858,-2.351083,0.8810415,-2.071401,-2.071402,0.8233381,-1.014854,0.7499976,2.041084,0.321016
4292,2.057,-0.778,1,65,66,12.86435,1.940498,12.74785,-0.4861538,-0.2917028,0.0001434,12.22487,8.239449,-0.529745,12.8049,-0.237969,1,1,1.182062,1.182062,1.369367,0.8924749,1.222126,1.222126,1.033893,0.5949157,0.7130451,2.054285,-1.637111
4325,16.421,1.152,1,53,67,13.24,15.92885,12.74785,-0.0491321,1.201275,0.0001434,15.87189,22.41174,1.177218,12.98883,-0.0239841,1,1,0.6001185,0.6001185,0.6998761,0.8712637,0.6097767,0.6097769,1.016094,0.3004232,0.7802119,2.029726,0.0655018
4350,21.564,0.252,1,33,68,11.85542,22.45643,12.74785,0.1526061,0.0995373,0.0001434,12.07321,28.26136,0.1742599,12.31088,0.0747958,1,1,-1.2265,-1.2265,-1.167156,0.808206,-0.9433027,-0.943303,0.7691014,-0.4825336,0.9523131,1.954896,1.519589
4383,1.886,0.352,1,25,69,11.46568,3.168172,12.74785,0.0732,0.2789434,0.0001434,12.07658,8.78227,0.3147853,12.12004,0.0359151,1,1,-1.442252,-1.442252,-1.367001,0.7614713,-1.040932,-1.040933,0.721741,-0.5485714,1.062019,1.897534,-1.737409
4410,6.356,0.042,1,41,70,13.47298,5.630877,12.74785,0.0963902,-0.0542469,0.0001434,13.3538,12.22783,-0.00705,13.1029,0.04727,1,1,0.5142294,0.5142294,0.5848349,0.8396275,0.4910435,0.4910437,,0.2464417,0.8708174,1.992535,-1.132764
4420,24.457,-0.208,1,32,71,13.87416,23.3307,12.74785,-0.22425,0.0163934,0.0001434,13.90976,30.12409,-0.0934093,13.29934,-0.1097294,1,1,1.617988,1.617988,1.752827,0.8033907,1.408205,1.408205,0.8703434,0.7225034,0.9641933,1.949064,1.789355
4458,5.272,-0.338,1,48,72,5.811396,12.20846,12.74785,-1.049458,0.7116017,0.0001434,7.370323,15.05397,0.197741,9.35146,-0.5137876,1,1,-4.636599,-4.636599,-4.336448,0.8597347,-3.728195,-3.728196,0.8040799,-1.849072,0.8143991,2.016252,-0.4682008
4511,14.186,-0.188,1,58,73,13.40903,13.52482,12.74785,-0.1071379,-0.0807187,0.0001434,13.23185,20.09047,-0.1331781,13.0716,-0.0523863,1,1,0.8962537,0.8962537,1.007632,0.8810415,0.8877652,0.8877655,0.9905292,0.4349481,0.7499976,2.041084,0.1791578
4523,16.093,-0.158,1,47,74,8.351745,20.48911,12.74785,-0.0537447,-0.104112,0.0001434,8.123303,24.57849,-0.1304277,10.59533,-0.0262426,1,1,-4.27803,-4.27803,-4.177348,0.8571765,-3.580725,-3.580726,0.8370035,-1.77858,0.821792,2.01325,1.21507
4530,5.026,-0.418,1,63,75,9.055698,8.718154,12.74785,-0.5968889,0.1790322,0.0001434,9.447675,13.15222,-0.1132307,10.94001,-0.2921897,1,1,-2.383954,-2.383954,-2.174465,0.8894389,-1.934054,-1.934054,0.8112802,-0.9430789,0.7230418,2.050787,-0.7720229
4642,22.518,-0.468,1,61,76,14.59903,20.66682,12.74785,0.1154426,-0.5832993,0.0001434,13.32061,27.81514,-0.5267735,13.65427,0.0565989,1,1,1.59854,1.59854,1.665329,0.8862263,1.475858,1.475858,0.9232541,0.7209576,0.7334712,2.047081,1.561777
4868,18.308,0.942,1,34,77,12.31018,18.74568,12.74785,0.3611177,0.5810257,0.0001434,13.58299,24.77328,0.7578447,12.53355,0.1768922,1,1,-1.228633,-1.228633,-1.21106,0.8127909,-0.9843382,-0.9843385,0.8011656,-0.5021025,0.9408614,1.960433,0.720094
4931,11.731,0.992,1,58,78,13.79081,10.68804,12.74785,0.3647586,0.6273847,0.0001434,15.1652,17.44063,0.8059865,13.25853,0.1786749,1,1,0.244023,0.244023,0.2608669,0.8810415,0.2298345,0.2298347,,0.1126043,0.7499976,2.041084,-0.5799019
5192,2.35,-0.018,1,28,79,10.4095,4.688353,12.74785,-0.0637143,0.0458576,0.0001434,10.50967,9.785298,0.0146603,11.60289,-0.0311241,1,1,-2.198429,-2.198429,-2.095751,0.7814423,-1.637708,-1.637709,0.744945,-0.8519725,1.016588,1.922256,-1.417678
5404,24.993,0.612,1,57,80,15.41498,22.32587,12.74785,0.8249825,-0.2128391,0.0001434,14.9483,29.87372,0.1911084,14.0538,0.4040207,1,1,0.8597655,0.8597655,0.7844138,0.8792066,0.6896617,0.6896622,0.8021516,0.3382426,0.7557597,2.038957,1.673256
5619,22.521,1.362,1,66,81,15.41624,19.85261,12.74785,0.4203333,0.94181,0.0001434,17.4796,27.40108,1.147624,14.05441,0.2058868,1,1,1.747681,1.747681,1.753392,0.8939313,1.567412,1.567413,0.8968527,0.762375,0.7081997,2.05596,0.8280308
5640,11.876,0.512,1,57,82,13.16011,11.46375,12.74785,-0.1765965,0.6887398,0.0001434,14.66894,17.90751,0.6022705,12.94971,-0.0863962,1,1,0.7995201,0.7995201,0.9248124,0.8792066,0.8131012,0.8131014,1.016987,0.398783,0.7557597,2.038957,-0.4632826
5650,22.587,0.292,1,45,83,14.27353,21.06132,12.74785,0.0224444,0.2696989,0.0001434,14.86418,28.05026,0.2806887,13.49489,0.0110629,1,1,1.476815,1.476815,1.562234,0.8517698,1.330664,1.330664,0.9010364,0.6630477,0.8372025,2.006891,1.298294
5667,10.697,-0.188,1,61,84,13.77823,9.666622,12.74785,0.4190492,-0.6069058,0.0001434,12.44808,16.41305,-0.401721,13.25237,0.205258,1,1,0.1124823,0.1124823,0.1184502,0.8862263,0.1049737,0.1049739,,0.0512798,0.7334712,2.047081,-0.2655612
5720,19.196,0.432,1,53,85,14.2823,17.66155,12.74785,0.032566,0.3995773,0.0001434,15.15753,24.65479,0.4155231,13.49919,0.0160189,1,1,1.463406,1.463406,1.546797,0.8712637,1.347668,1.347669,0.9209125,0.6639656,0.7802119,2.029726,0.6832269
5761,2.076,-1.118,1,52,86,11.13806,3.685795,12.74785,-0.323,-0.7948567,0.0001434,9.396076,9.139475,-0.9530116,11.95963,-0.1580818,1,1,-0.9017323,-0.9017323,-0.7471113,0.8691121,-0.6493234,-0.6493236,0.7200847,-0.3203028,0.786705,2.027218,-1.192827
5762,8.529,-1.308,1,37,87,4.324865,16.95199,12.74785,-1.193946,-0.1139106,0.0001434,4.074953,19.06963,-0.6985188,8.62359,-0.584535,1,1,-5.806533,-5.806533,-5.477437,0.8253185,-4.52063,-4.520632,0.7785425,-2.288367,0.9088362,1.975484,0.5784665
5783,4.983,-0.548,1,29,88,13.15034,4.580507,12.74785,0.1730345,-0.7208911,0.0001434,11.57043,11.01949,-0.6361659,12.94493,0.0847984,1,1,0.0236582,0.0236582,0.0789098,0.7873764,0.0621317,0.0621318,,0.0322003,1.002693,1.92954,-1.056038
5815,5.964,-1.828,1,25,89,7.27136,11.44049,12.74785,-0.68,-1.147857,0.0001434,4.755895,15.00087,-1.480814,10.06632,-0.3328846,1,1,-3.986181,-3.986181,-3.760043,0.7614713,-2.863165,-2.863167,0.7182731,-1.508889,1.062019,1.897534,0.0889377
5819,5.698,0.332,1,50,90,12.1389,6.306952,12.74785,0.1816,0.1505433,0.0001434,12.46845,12.25069,0.2394626,12.44968,0.0889925,1,1,-1.006555,-1.006555,-0.9530197,0.8645856,-0.8239671,-0.8239672,0.818601,-0.4075147,0.8001928,2.021932,-1.138767
5838,13.903,-0.038,1,31,91,13.68961,12.96124,12.74785,0.1565161,-0.1943728,0.0001434,13.26339,19.66427,-0.1177356,13.20898,0.0767103,1,1,0.5991206,0.5991206,0.6576812,0.7983276,0.525045,0.5250454,0.8763601,0.2702363,0.9765297,1.942912,0.1333082
5937,23.88,1.122,1,29,92,16.77596,19.85189,12.74785,0.6509655,0.4711778,0.0001434,17.80808,28.06613,0.789919,14.72019,0.3188143,1,1,2.602049,2.602049,2.561558,0.7873764,2.016911,2.016912,0.7751243,1.045281,1.002693,1.92954,1.071812
6074,21.142,-0.438,1,56,93,13.77909,20.11076,12.74785,-0.27675,-0.1611066,0.0001434,13.42576,26.85761,-0.2966155,13.25279,-0.1354357,1,1,1.637958,1.637958,1.783314,0.8773142,1.564526,1.564527,0.9551693,0.7681442,0.7616566,2.036762,1.309294
